sample,external_id,group,geo_id,platform,dataset,tech
DW1,DW1,DFU,GSM5994301,GPL24676,GSE199939,RNA-seq
DW2,DW2,DFU,GSM5994302,GPL24676,GSE199939,RNA-seq
DW3,DW3,DFU,GSM5994303,GPL24676,GSE199939,RNA-seq
DW4,DW4,DFU,GSM5994304,GPL24676,GSE199939,RNA-seq
DW5,DW5,DFU,GSM5994305,GPL24676,GSE199939,RNA-seq
DW6,DW6,DFU,GSM5994306,GPL24676,GSE199939,RNA-seq
DW7,DW7,DFU,GSM5994307,GPL24676,GSE199939,RNA-seq
DW8,DW8,DFU,GSM5994308,GPL24676,GSE199939,RNA-seq
DW9,DW9,DFU,GSM5994309,GPL24676,GSE199939,RNA-seq
DW10,DW10,DFU,GSM5994310,GPL24676,GSE199939,RNA-seq
N1,N1,Control,GSM5994311,GPL24676,GSE199939,RNA-seq
N2,N2,Control,GSM5994312,GPL24676,GSE199939,RNA-seq
N3,N3,Control,GSM5994313,GPL24676,GSE199939,RNA-seq
N4,N4,Control,GSM5994314,GPL24676,GSE199939,RNA-seq
N5,N5,Control,GSM5994315,GPL24676,GSE199939,RNA-seq
N6,N6,Control,GSM5994316,GPL24676,GSE199939,RNA-seq
N7,N7,Control,GSM5994317,GPL24676,GSE199939,RNA-seq
N8,N8,Control,GSM5994318,GPL24676,GSE199939,RNA-seq
N9,N9,Control,GSM5994319,GPL24676,GSE199939,RNA-seq
N10,N10,Control,GSM5994320,GPL24676,GSE199939,RNA-seq
N11,N11,Control,GSM5994321,GPL24676,GSE199939,RNA-seq
