gene,GSM4448287,GSM4448288,GSM4448289,GSM4448290,GSM4448291,GSM4448292,GSM4448293,GSM4448300,GSM4448301,GSM4448302,GSM4448303,GSM4448304,GSM4448305
ANKRD12,3.138300523076923,4.212944501538462,5.617348163846154,5.235044503846154,5.267920253692306,5.463836871923077,5.738843388846154,2.0136623666923077,1.510772705,4.031410031615384,2.0172580594615384,5.414944927846155,5.758329931692307
EIF5B,5.899236011769231,6.617866077538461,6.956289647846154,6.707124717846153,7.04208933823077,7.173073274999999,6.904243334692309,3.3626008896153845,4.17537636776923,6.492494085307692,4.403302479,7.235941675923077,7.1125671576923075
MGP,3.619861717230769,5.324422103153847,5.492020075384615,6.279508748461538,5.468017837846154,6.335040317307692,6.168836907538461,5.745868434538462,4.980271816307693,4.603570968076923,5.1742176035384615,1.895089588076923,4.201109490307693
PICALM,2.252809812076923,1.8572767511538464,2.0625562762307688,3.330222088076923,3.3505181623076936,4.252410727846154,1.7857253233076926,3.495105639,4.675945759230769,2.158606270076923,2.7794244480000003,4.549999405153847,3.271716932384616
ATRX,4.956621547000001,4.739406106461538,4.6204563792307685,5.071504415076922,4.863925659846154,4.995853928769231,5.180695216846154,2.394083571,2.178418671230769,4.560829068384615,3.607000341384615,4.588584297384615,4.924703464538461
Igk,2.0137734682307693,3.3282111609999996,5.3610765935384626,3.0510826750769238,2.491191311615385,2.8309792866153853,4.599391484307693,2.773131376692308,2.2461187944615384,4.352141165846154,3.3157467107692304,2.817110109230769,2.4164418192307693
CGA,3.559373520307692,2.175985022692308,1.986748590076923,2.062856242692308,2.7986550974615385,3.6353412830000003,2.691714644230769,1.2680959963846152,1.2783883248461538,3.1160906172307694,4.426155190538462,3.3341701305384612,3.9484943083846153
PPIG,3.0243251501538455,3.5071474752307696,3.952512602923077,3.6941967124615385,3.9616174366923076,4.117770874846153,3.865785065461539,1.9623138133846156,1.2240001823076923,3.656674412153846,1.8586205169999999,3.881383358923076,4.069505445769232
RBBP6,4.810010242384616,5.111514423461538,5.529887716076923,5.381111814,5.448989200692306,5.665674927538461,5.601278686384616,2.922943973846154,3.0063170025384616,5.231410113000001,4.187757382384616,5.622767014307692,5.619322816923078
IGF1,2.326872102461538,4.5977769763846155,4.880994560384616,4.922278337076923,4.747094612076923,5.210948576230768,4.542394568230769,4.417493624846154,4.15615896476923,4.7665180359230765,5.245499502615385,2.828296332923077,2.8702177333846155
AOX1,1.5327118335384615,3.8681146841538467,4.54617559476923,4.3073625803846145,3.8125598370769227,4.211032843615384,4.5060322766923075,4.423990551307693,3.077312208692308,4.616061940615385,4.854659765538462,2.5752738270769227,4.025697695230769
NEFL,3.1865411946153843,2.968450380461538,3.5567131805384617,3.730019245153846,1.8871158936923078,3.3548502798461537,3.234304304384615,2.4806349699999997,1.5614591874615384,1.8462495632307692,1.3294566874615383,3.5982186862307697,1.132869884923077
RRM2,5.4961087164615385,4.812353984923077,4.511618748769231,4.848516297615384,5.208429189153846,5.420267081076923,4.862177388846154,6.051318941692307,5.115995255153846,3.1692976702307694,2.8884325213076925,4.6143199209230765,3.5456806613076925
CXCL12,5.306216381153846,7.327349433384615,7.833773833153846,8.003778953000001,7.944007501615384,7.991270349615386,8.323144980615385,8.206974415,7.635200149538459,6.989409096384616,7.587302793,5.864345287615384,6.9056715830769235
ENO1,6.2457514987692315,6.938107869384615,6.495640200846154,7.838121317076922,8.046851885153847,8.615455133923076,6.252745013923077,8.671045076923077,8.692457503384615,7.090857804153846,7.789027290846155,8.032266043692308,8.044836216384617
THBS1,2.921732440923077,4.8127505134615385,4.718618249076924,5.939121110153845,5.463112567692307,6.185448615307692,4.8490118565384615,5.654625232153847,5.886435710615386,5.318169730769231,6.132832339615385,4.528225760769231,5.708723834692307
LOX,2.842034595538462,4.830120544,4.848206149692308,6.308418977461538,4.417493624846154,5.133875901153846,5.267920253692306,4.945977438076922,4.024338746384616,4.480396722538462,4.993643356461538,3.208180903615384,4.577011781923077
FABP7,3.611368235769231,3.3061114757692307,2.2200649276153848,1.9524968516153849,2.7161472066153842,1.9576191425384613,4.708473590923078,3.5077836635384614,3.798917811846154,3.8512927118461535,2.4554042618461542,3.6605584836153846,4.092439376076924
TMED2,2.6641430539230773,3.0223788698461536,2.8260339224615385,5.296592699384616,4.289285569307692,4.419251258000001,2.989383949538462,4.362506483230769,4.649622257230769,2.661671633461538,3.921227291846154,4.165946663076924,4.295756265692307
XAF1,6.845959550538462,6.347350016769231,6.587103054923078,6.950523287461538,6.751246565615385,6.995033016769231,7.084060112769231,4.5231857340769235,4.591142239153846,6.418849664461538,6.158305006846154,6.65814617323077,7.109454974153847
ELN,3.509955386846154,4.628872758846153,5.1374013767692315,5.610496492153846,5.324422103153847,5.110323004153846,5.094142215000001,5.406569261307693,4.859258477307692,3.670651847076923,4.761694539076922,2.933480513769231,3.6050224789999996
DNAJC2,4.764746428076924,5.033707384230768,5.0410844894615385,4.874253083153845,5.359397293076923,5.253541075461538,5.032492331,3.2206714034615382,2.693556970230769,4.673208709461539,3.921227291846154,5.371270075076923,5.298145811461539
PNISR,4.653962615692308,4.2832745476153855,4.323418221076923,4.639250141384616,4.5441628836153845,4.484817744769232,4.667298882846154,2.5586142462307695,2.2312102194615386,4.287100369538461,3.1510676141538454,4.295361569076922,4.701209920615384
SMC3,5.332782938076923,5.271723404153846,4.912846402461539,4.787819918230769,5.157513572153846,5.160710584384616,5.248631205307693,3.0704926563076924,2.867808669153846,4.615308040461539,4.326011958692307,5.203103505615385,5.3450526058461545
RBM41,3.5530113978461535,3.4992394269230767,3.887257737461538,3.7344628427692306,3.736354449,3.7236778644615387,3.8526466368461536,1.622421969538462,1.6078782094615387,3.527692640384615,2.5779886266923073,3.9597377013076924,3.8557101255384607
RAD50,3.9740442933076925,4.249227170153846,4.256738709923076,4.022525563692307,4.526832176538462,4.703062337692308,4.173267836692308,2.8544405776923076,1.7172191430769232,4.052353077923077,3.225809761076923,4.329167898692308,4.394166654538461
HBE1,9.226440222307692,11.39868320923077,11.718072373846153,11.331264320769233,10.394485220769232,11.590640886923076,9.375311821461539,10.845296899230771,11.554224342307693,11.368510919999999,11.331264320769233,11.39868320923077,11.257772789230769
ZNF273,3.931015183769231,3.6821152433076922,3.7767751966153846,4.556874498999999,4.01334014976923,3.9423553352307694,4.5503125145384615,2.324675747923077,2.2400434515384617,3.420979209307693,2.4955073236923075,2.9523500574615387,4.309929821538462
ANK2,3.371985427923077,3.7681373463076926,4.435656770461539,5.409858620538461,4.680484284,4.657462956615385,5.481731500384616,4.353588312384615,3.7855419995384616,3.2293716498461533,3.7400108256923073,2.799401091307693,4.282073589384615
FGL2,2.9279077789230765,4.089781920461538,5.184265490307693,5.300615053384616,4.4565602676153855,4.921206666615384,5.486662396307692,4.397357680384616,4.094525235,3.7773304153846157,4.204383082923077,3.065151823538462,4.0708831942307695
ASPN,4.577011781923077,4.217018697,4.626710975076923,5.044067158076923,4.247538187076923,4.225554793769231,4.432723393076923,2.996072238538461,2.3450598577692303,4.189821602923077,3.9437940284615385,3.065404710769231,4.800279909307693
PNN,5.526711326230769,5.654625232153847,5.644683165615384,5.764854154153846,5.927108802384614,6.049595917153846,5.780416035384615,3.9441217158461543,3.515368193461539,5.319717806,4.979093266538462,5.686325258999999,5.999854362461539
LEPROT,2.772063757076923,4.284463346692308,4.657462956615385,3.471027849461538,4.201472868076922,4.2319260451538465,3.8278926888461546,4.306864801923078,3.0806024696153846,5.4093921735384605,4.943974063230769,3.3757360229230766,4.970228975230769
COLEC12,2.2474713194615386,3.9593771154615385,4.233973730461539,4.356213048538462,4.2296479883076925,4.4585523772307685,4.725123190692307,3.918417088307692,3.309575665230769,4.205936814384615,4.262769042692307,2.269737026307692,3.772704564076923
LARP7,4.253368273153846,4.415721002307692,4.239384224999999,4.328838052153845,4.463035770384615,4.5468905087692315,4.487041728923076,2.708114871,2.139475465076923,4.143791468461538,3.5093576429999995,4.662182527692307,4.565237972230769
FGF7,1.6538363976923074,3.011485359846154,3.196954689923077,3.603300145692307,3.578878724076923,3.663154776076924,3.559579983615385,2.573863373230769,2.3908697764615385,3.841888613461539,4.328838052153845,2.036492705307692,2.7900169913846153
CMAHP,3.778912529,3.3784303526153847,3.7056130228461535,4.4992542324615385,3.456325694846154,3.499914454923077,4.387149321461537,3.007419479846154,2.2002826141538465,2.802560652923077,2.8623911133846156,1.942756422846154,4.045774400769231
LOC100294033,4.274995964384616,3.8959302269230776,3.9575150356923077,3.924531914461539,3.850765647076923,3.9225195530769232,4.117127992538461,2.210260830538462,1.6742630480000003,3.492128782384616,3.2131885812307694,3.492788054615384,3.7932808133076916
COL14A1,4.025956371692307,5.309994726076923,5.408537238461539,5.956743636692308,4.772700891230769,5.354848183384615,5.502140115846152,5.0781203662307695,4.67027875223077,4.266344447846154,4.667638968538461,3.092482780076923,4.2801203008461535
KLF6,4.219162437461538,3.3054281632307694,4.548647514692308,4.872356257230769,5.370574549307692,5.822276933384615,4.37773870923077,5.193406090769231,5.7432929093076925,4.822044681307691,5.910195767153846,5.654625232153847,5.351982525461538
NDRG2,1.7390186520769233,1.604703267461539,1.4016541203846153,3.1905968607692308,2.4635380830769225,2.9979990346153835,1.9095649335384617,3.346056402923077,3.982251499153846,2.162329088076923,2.4748032449230766,2.0045738460769233,2.4716846663846157
ESF1,5.268575085999999,5.303173949076922,5.414944927846155,5.117785202999999,5.329325367153847,5.370052891153847,5.3306355732307695,3.389182345307692,3.4317163967692306,5.088416190307692,4.209341876923077,5.545193189846154,5.448600729000001
ADH1B,0.9977658339230769,1.7183463684615385,2.5199730892307692,2.817394111230769,2.705445663,2.3755883796923074,2.690219921307692,3.0022960341538463,1.7680470674615387,2.4042628413076925,3.309368821076923,1.0236241093076925,3.1743044915384613
CEACAM1,3.0810262503076924,3.8457765689230765,3.5875715649230764,3.1108610230769234,3.003425288153846,3.275808577076923,2.501415864615385,3.3054281632307694,4.533163059307693,4.585211502076923,4.896369167384615,4.600367474538462,3.758468687076923
FBLN1,4.806958799307693,6.0292010999230765,6.414683396076923,6.644414950384615,6.495640200846154,7.0441751532307695,6.8197501133846155,7.170991795538462,6.890421313153847,5.683419167384615,6.452606020692307,4.954078521846153,6.042993598615386
MPHOSPH10,5.455023843000001,5.389194602153846,5.255373440153846,5.380365764692308,5.694283381769231,5.60186293953846,5.484847368307692,3.7746787692307695,3.341958154,5.182222514000001,4.691226742538462,5.61969813323077,5.5988377062307695
DEFB4B,6.747500813692307,8.523450203384616,8.330521780384617,8.226237509538462,7.506978141615385,7.733609463307692,8.24811684276923,9.355422501846153,9.392068027076924,8.015490173076923,8.534661574307693,9.125529146076925,8.559343815538462
DUSP1,7.018834336769232,6.912872944076923,6.877657489076924,7.202559276615385,7.060991313461539,7.273545588769232,6.751246565615385,8.065749478307692,8.631609326923076,8.433670030692308,8.936231230692307,7.838121317076922,8.010140879
KIAA0101,6.331354251615386,5.958932865230769,5.772835529769231,5.9013235687692305,6.217205126153846,6.04054924323077,6.122183322461539,6.661150959846154,5.797967072307691,4.6476731302307694,3.9486902962307697,5.744025121846153,5.067023212846154
ECM2,3.282318858153846,4.501224333307692,4.7081785806153835,5.12723791923077,4.306524849461538,4.4794205130769225,5.133875901153846,4.220805717230769,2.7771789931538464,3.9170591661538463,3.4297802428461543,3.1959518651538468,4.001546453461538
IL13RA2,4.225049258384615,4.344177334076923,4.375089469769231,3.464609069846155,4.8305146109230765,4.118526239307693,3.9593771154615385,4.161457687230769,4.6199213537692305,5.640280818153845,5.5761264178461545,5.982270744384615,4.9512102976153844
TYMS,5.938528225615385,5.446057139615386,5.261154603153846,5.773539374384616,5.930662892769233,5.899236011769231,5.954089177153847,6.416573875153846,5.587732936307692,4.056603445846154,3.9423553352307694,5.511054578384615,4.948716143615385
OGN,1.959069964230769,2.424377845923077,3.053923073384615,3.8476064857692305,2.8780635863846156,3.305704985230769,3.5657231816923076,2.3181938385384617,1.3100295406923077,2.0387564961538462,2.064569140538461,1.9573502801538463,2.6018357954615388
ABCA8,2.7714165797692307,3.1222786764615384,4.092216563076923,3.814496367923077,4.174079161538462,4.6907138623076925,5.145988827076923,4.638252288230769,3.596717441307692,3.8968159790769232,3.0962770610769232,3.334793806307692,3.0328576630769226
FOS,5.0451512414615385,4.467233148846153,4.925963716846154,5.040491299230769,4.496945585307693,5.292826110153846,4.839974994307692,4.890656935615386,5.733675338769231,6.435758521153844,6.943135156846154,5.040491299230769,5.457024893461538
CASP4,4.334942064846155,4.217018697,4.328530189153847,3.978594484692308,4.445627996923077,4.538635237153846,4.274235439384615,2.892402318692308,1.9629228845384612,4.044784836230769,3.6303462306923078,3.8070775279230773,4.083568390461538
SSB,4.976358027384616,4.7928405003846155,4.789579144538463,4.955175496846153,5.297352813,5.133875901153846,4.8682306227692305,3.4090345873076924,3.037803404769231,4.929423249999999,4.0715677430769235,5.229340785,5.279980177
