NR_046018	DDX11L1
NR_024368	LINC01000
NR_029406	RPL23AP87
NR_047526	LINC01128
NM_152486	SAMD11
NM_198317	KLHL17
NM_005101	ISG15
NM_198576	AGRN
NR_038869	LINC01342
NR_029639	MIR200B
NR_029834	MIR200A
NR_029957	MIR429
NM_153339	PUSL1
NM_001029885	CPTP
NR_015434	MRPL20-AS1
NM_001146685	TMEM278
NM_022834	VWA1
NM_080875	MIB2
NM_006983	MMP23B
NR_002946	MMP23A
NM_138705	CALML6
NM_003036	SKI
NM_007033	RER1
NR_026927	TNFRSF14-AS1
NM_080431	ACTRT2
NM_022114	PRDM16
NR_036215	MIR4251
NM_014448	ARHGEF16
NM_182752	TPRG1L
NM_005427	TP73
NM_152492	CCDC27
NM_001163724	SMIM1
NR_024455	LINC01134
NR_040065	LINC01346
NM_018836	AJAP1
NM_207396	RNF207
NM_001024598	HES3
NM_031475	ESPN
NM_005341	ZBTB48
NM_153812	PHF13
NM_015215	CAMTA1
NM_004781	VAMP3
NM_016831	PER3
NM_007262	PARK7
NR_038351	ENO1-AS1
NM_001215	CA6
NM_004285	H6PD
NM_025106	SPSB1
NM_001130924	TMEM201
NM_022787	NMNAT1
NM_001105562	UBE4B
NM_015074	KIF1B
NM_002631	PGD
NM_004565	PEX14
NM_007375	TARDBP
NM_001001998	EXOSC10
NR_046600	MTOR-AS1
NM_021146	ANGPTL7
NM_013319	UBIAD1
NM_020780	DISP3
NM_001014765	FBXO44
NM_018438	FBXO6
NM_198545	DRAXIN
NM_001040196	AGTRAP
NR_037806	NPPA-AS1
NM_014874	MFN2
NM_021933	MIIP
NM_015378	VPS13D
NM_001013630	AADACL4
NM_001103170	AADACL3
NM_152290	CFAP107
NM_001080830	PRAMEF12
NM_023014	PRAMEF2
NM_001012276	PRAMEF8
NM_001100631	PRAMEF22
NM_001013407	PRAMEF5
NM_001098376	PRAMEF15
NM_001099852	PRAMEF20
NM_001099851	PRAMEF17
NM_001006624	PDPN
NM_001136216	TMEM51
NM_052929	FHAD1
