Variable,Bootstrap_Frequency,Stable
hba1c,1.0,True
glucose,1.0,True
bun,1.0,True
antibiotic_use,1.0,True
wound_culture_positive,1.0,True
insulin_use,1.0,True
anion_gap,1.0,True
inr,1.0,True
fibrinogen,1.0,True
procalcitonin,1.0,True
crp,1.0,True
creatinine,0.884,True
egfr,0.342,False
albumin,0.104,False
cci,0.069,False
plr,0.017,False
apache_ii,0.015,False
hemoglobin,0.002,False
bmi,0.002,False
map,0.001,False
age,0.0,False
nlr,0.0,False
platelet,0.0,False
heart_rate,0.0,False
sofa_score,0.0,False
wbc,0.0,False
spo2,0.0,False
icu_los_hours,0.0,False
lactate,0.0,False
lmr,0.0,False
mv_duration,0.0,False
vasopressor_use,0.0,False
mechanical_ventilation,0.0,False
gender,0.0,False
hypertension,0.0,False
