Variable,MIMIC_Missing_Pct,eICU_Missing_Pct
age,0.0,0.0
bmi,0.0,0.0
cci,0.0,0.0
sofa_score,0.0,0.0
apache_ii,0.0,0.0
heart_rate,0.0,0.0
map,0.0,0.0
spo2,0.0,0.0
creatinine,0.0,0.0
egfr,0.0,0.0
bun,0.0,0.0
glucose,0.0,0.0
hba1c,0.0,0.0
wbc,0.0,0.0
hemoglobin,0.0,0.0
platelet,0.0,0.0
albumin,0.0,0.0
nlr,0.0,0.0
plr,0.0,0.0
lmr,0.0,0.0
crp,0.0,0.0
procalcitonin,0.0,0.0
lactate,0.0,100.0
inr,0.0,0.0
fibrinogen,0.0,0.0
anion_gap,0.0,0.0
icu_los_hours,0.0,0.0
mv_duration,0.0,0.0
gender,0.0,0.0
mechanical_ventilation,0.0,0.0
vasopressor_use,0.0,0.0
insulin_use,0.0,0.0
antibiotic_use,0.0,0.0
wound_culture_positive,0.0,0.0
hypertension,0.0,0.0
