Model,Dataset,AUC,AUC_CI,PR_AUC,PR_AUC_CI,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,PPV,PPV_CI,NPV,NPV_CI,F1,F1_CI,Brier,Brier_CI,MCC,MCC_CI,Threshold
LR,Training_CV,0.9659,(0.9631-0.9687),0.9659,(0.9627-0.9692),0.8987,(0.8908-0.9069),0.8991,(0.8912-0.9067),0.8990,(0.8912-0.9067),0.8987,(0.8903-0.9065),0.8989,(0.8929-0.9046),0.0729,(0.0696-0.0762),0.7978,(0.7862-0.8086),0.4925
RF,Training_CV,0.9924,(0.9912-0.9935),0.9927,(0.9915-0.9938),0.9581,(0.9532-0.9632),0.9625,(0.9575-0.9675),0.9624,(0.9576-0.9674),0.9583,(0.9533-0.9632),0.9602,(0.9566-0.9639),0.0331,(0.0311-0.0352),0.9206,(0.9135-0.9278),0.5135
XGBoost,Training_CV,0.9929,(0.9917-0.9940),0.9937,(0.9927-0.9946),0.9493,(0.9440-0.9549),0.9722,(0.9681-0.9765),0.9715,(0.9672-0.9759),0.9505,(0.9451-0.9560),0.9603,(0.9567-0.9642),0.0298,(0.0275-0.0320),0.9218,(0.9147-0.9295),0.5895
SVM,Training_CV,0.9856,(0.9837-0.9875),0.9827,(0.9798-0.9856),0.9527,(0.9471-0.9582),0.9474,(0.9417-0.9533),0.9477,(0.9419-0.9537),0.9525,(0.9464-0.9577),0.9502,(0.9461-0.9546),0.0393,(0.0365-0.0421),0.9001,(0.8921-0.9087),0.5350
LightGBM,Training_CV,0.9932,(0.9921-0.9943),0.9939,(0.9930-0.9948),0.9576,(0.9523-0.9626),0.9659,(0.9614-0.9708),0.9656,(0.9611-0.9706),0.9579,(0.9527-0.9627),0.9616,(0.9580-0.9653),0.0294,(0.0269-0.0318),0.9235,(0.9164-0.9310),0.5107
ANN,Training_CV,0.9874,(0.9857-0.9892),0.9851,(0.9825-0.9878),0.9540,(0.9485-0.9597),0.9510,(0.9456-0.9567),0.9511,(0.9458-0.9570),0.9538,(0.9486-0.9595),0.9525,(0.9484-0.9566),0.0372,(0.0344-0.0399),0.9049,(0.8973-0.9128),0.6697
Stacking,Training_CV,0.9942,(0.9932-0.9951),0.9943,(0.9934-0.9952),0.9526,(0.9472-0.9580),0.9727,(0.9687-0.9769),0.9722,(0.9682-0.9765),0.9535,(0.9480-0.9586),0.9623,(0.9587-0.9660),0.0279,(0.0259-0.0300),0.9255,(0.9185-0.9327),0.6107
LR,Internal_Test,0.9469,(0.9336-0.9592),0.8072,(0.7683-0.8439),0.9052,(0.8705-0.9344),0.8590,(0.8441-0.8733),0.4661,(0.4265-0.5055),0.9852,(0.9793-0.9900),0.6154,(0.5770-0.6506),0.0826,(0.0751-0.0900),0.5873,(0.5509-0.6213),0.3855
RF,Internal_Test,0.9410,(0.9256-0.9536),0.7629,(0.7157-0.8024),0.9021,(0.8673-0.9329),0.8686,(0.8553-0.8824),0.4828,(0.4412-0.5228),0.9849,(0.9793-0.9898),0.6290,(0.5893-0.6646),0.0549,(0.0494-0.0605),0.6004,(0.5630-0.6346),0.2079
XGBoost,Internal_Test,0.9424,(0.9276-0.9556),0.7938,(0.7529-0.8302),0.8807,(0.8424-0.9148),0.8827,(0.8693-0.8950),0.5053,(0.4655-0.5448),0.9820,(0.9764-0.9874),0.6421,(0.6035-0.6782),0.0530,(0.0468-0.0593),0.6099,(0.5716-0.6457),0.1156
