Comparison,Dataset,AUC_Diff,DeLong_P,AUC_Diff_CI,NRI,NRI_Event,NRI_NonEvent,IDI
RF vs LR,Internal_Test,-0.006,0.064,"(-0.0124, 0.0003)",-0.0678,-0.1468,0.079,-0.1097
RF vs LR,External_Val,-0.0006,0.858,"(-0.0073, 0.0068)",-0.0594,-0.132,0.0726,-0.1171
XGBoost vs LR,Internal_Test,-0.0045,0.136,"(-0.0108, 0.0015)",-0.0788,-0.1682,0.0894,-0.0461
XGBoost vs LR,External_Val,-0.0023,0.518,"(-0.0087, 0.0049)",-0.0589,-0.14,0.0811,-0.0379
SVM vs LR,Internal_Test,-0.033,0.0,"(-0.0449, -0.0214)",-0.1074,-0.1835,0.0761,-0.065
SVM vs LR,External_Val,-0.0472,0.0,"(-0.0649, -0.0309)",-0.124,-0.184,0.06,-0.0847
LightGBM vs LR,Internal_Test,-0.0037,0.222,"(-0.0098, 0.0022)",-0.0828,-0.1743,0.0915,-0.0423
LightGBM vs LR,External_Val,-0.0035,0.324,"(-0.0100, 0.0029)",-0.0899,-0.172,0.0821,-0.0381
ANN vs LR,Internal_Test,-0.0346,0.0,"(-0.0470, -0.0226)",-0.1033,-0.1865,0.0832,-0.045
ANN vs LR,External_Val,-0.0322,0.0,"(-0.0454, -0.0197)",-0.0909,-0.152,0.0611,-0.0298
Stacking vs LR,Internal_Test,-0.0065,0.038,"(-0.0131, -0.0002)",-0.0808,-0.1682,0.0874,-0.0568
Stacking vs LR,External_Val,-0.0023,0.534,"(-0.0088, 0.0048)",-0.052,-0.132,0.08,-0.0546
