Model,Dataset,AUC,PR_AUC,Sensitivity,Specificity,PPV,NPV,F1,Brier,MCC,Threshold
LR,Train_CV,0.9659,0.9659,0.8987,0.8991,0.899,0.8987,0.8989,0.0729,0.7978,0.4925
RF,Train_CV,0.9924,0.9927,0.9581,0.9625,0.9624,0.9583,0.9602,0.0331,0.9206,0.5135
XGBoost,Train_CV,0.9929,0.9937,0.9493,0.9722,0.9715,0.9505,0.9603,0.0298,0.9218,0.5895
SVM,Train_CV,0.9856,0.9827,0.9527,0.9474,0.9477,0.9525,0.9502,0.0393,0.9001,0.535
LightGBM,Train_CV,0.9932,0.9939,0.9576,0.9659,0.9656,0.9579,0.9616,0.0294,0.9235,0.5107
ANN,Train_CV,0.9874,0.9851,0.954,0.951,0.9511,0.9538,0.9525,0.0372,0.9049,0.6697
Stacking,Train_CV,0.9942,0.9943,0.9526,0.9727,0.9722,0.9535,0.9623,0.0279,0.9255,0.6107
LR,Internal_Test,0.9469,0.8072,0.9052,0.859,0.4661,0.9852,0.6154,0.0826,0.5873,0.3855
RF,Internal_Test,0.941,0.7629,0.9021,0.8686,0.4828,0.9849,0.629,0.0549,0.6004,0.2079
XGBoost,Internal_Test,0.9424,0.7938,0.8807,0.8827,0.5053,0.982,0.6421,0.053,0.6099,0.1156
SVM,Internal_Test,0.9139,0.7229,0.7951,0.906,0.535,0.9702,0.6396,0.0675,0.5951,0.2135
LightGBM,Internal_Test,0.9432,0.793,0.8654,0.8877,0.5118,0.9798,0.6432,0.0536,0.6084,0.093
ANN,Internal_Test,0.9119,0.7411,0.7737,0.8973,0.506,0.9668,0.6119,0.0696,0.5632,0.0851
Stacking,Internal_Test,0.9404,0.7864,0.8777,0.8769,0.4923,0.9814,0.6308,0.0525,0.5978,0.1238
LR,External_Val,0.9541,0.8981,0.884,0.8874,0.6738,0.9667,0.7647,0.0739,0.7029,0.431
RF,External_Val,0.9534,0.877,0.868,0.9179,0.7356,0.9635,0.7963,0.0639,0.7412,0.2732
XGBoost,External_Val,0.9518,0.8881,0.88,0.9074,0.7143,0.9664,0.7885,0.0608,0.7321,0.1319
SVM,External_Val,0.9072,0.8145,0.86,0.8589,0.616,0.9589,0.7179,0.0809,0.6429,0.0924
LightGBM,External_Val,0.9507,0.8875,0.884,0.9042,0.7083,0.9673,0.7865,0.0631,0.7298,0.0925
ANN,External_Val,0.9222,0.848,0.824,0.8979,0.6799,0.9509,0.745,0.0771,0.6748,0.0609
Stacking,External_Val,0.9519,0.8857,0.896,0.8958,0.6935,0.9704,0.7818,0.0606,0.725,0.1331
