Rank,Feature,Label,Mean_Abs_SHAP,Mean_Abs_SHAP_XGBoost,Rank_XGBoost,Mean_Abs_SHAP_RF,Rank_RF
1,wound_culture_positive,Wound Culture (+),2.344536,1.58129,1.0,0.175526,1.0
2,antibiotic_use,Antibiotic Use,1.366667,1.062911,3.0,0.122178,2.0
3,insulin_use,Insulin Use,1.335128,1.073032,2.0,0.109705,3.0
4,crp,CRP,1.022517,0.880639,4.0,0.073451,4.0
5,procalcitonin,Procalcitonin,0.682081,0.623627,6.0,0.049608,5.0
6,glucose,Glucose,0.670567,0.628008,5.0,0.036628,7.0
7,anion_gap,Anion Gap,0.622378,0.522698,7.0,0.041524,6.0
8,bun,BUN,0.548567,0.468606,9.0,0.03286,8.0
9,fibrinogen,Fibrinogen,0.548345,0.471225,8.0,0.029549,9.0
10,creatinine,Creatinine,0.276489,0.22599,10.0,0.009637,10.0
