Feature_1,Feature_2,Mean_Abs_Interaction
antibiotic_use,insulin_use,0.106204
antibiotic_use,wound_culture_positive,0.10035
antibiotic_use,crp,0.086675
bun,fibrinogen,0.078587
crp,procalcitonin,0.071538
insulin_use,procalcitonin,0.068588
crp,insulin_use,0.066145
crp,wound_culture_positive,0.065421
procalcitonin,wound_culture_positive,0.063529
anion_gap,procalcitonin,0.063124
anion_gap,crp,0.062971
insulin_use,wound_culture_positive,0.061793
glucose,wound_culture_positive,0.061149
anion_gap,fibrinogen,0.057675
anion_gap,wound_culture_positive,0.056744
antibiotic_use,procalcitonin,0.056472
crp,fibrinogen,0.055585
antibiotic_use,creatinine,0.055507
antibiotic_use,fibrinogen,0.054348
bun,procalcitonin,0.053618
antibiotic_use,glucose,0.053582
anion_gap,bun,0.053294
anion_gap,insulin_use,0.05221
bun,glucose,0.051888
fibrinogen,wound_culture_positive,0.051502
crp,glucose,0.051084
creatinine,crp,0.049993
fibrinogen,glucose,0.049829
glucose,procalcitonin,0.049054
fibrinogen,insulin_use,0.047637
bun,creatinine,0.047307
bun,wound_culture_positive,0.046616
fibrinogen,procalcitonin,0.046462
glucose,insulin_use,0.045405
anion_gap,glucose,0.044839
antibiotic_use,bun,0.044011
bun,crp,0.043352
creatinine,glucose,0.042606
anion_gap,antibiotic_use,0.042448
creatinine,procalcitonin,0.042016
creatinine,wound_culture_positive,0.041603
creatinine,insulin_use,0.040979
anion_gap,creatinine,0.040937
bun,insulin_use,0.039994
creatinine,fibrinogen,0.038996
