,Sample02_DFS20,Sample03_DFS21,Sample04_DFS31,Sample05_DFS32,Sample06_DFS34,Sample07_DFS37,Sample08_DFS39,Sample09_UM#7W4,Sample10_UM#8W4,Sample11_UM#15W0,Sample12_UM#23W0,Sample13_UM#24W0,Sample14_UM#30W4,Sample15_P2#13,Sample16_UM#27W4,Sample17_UM#28W4,Sample18_UM#31W4,Sample19_P2#01,Sample20_P2#03,Sample22_P2#21,Sample01_DFS11,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
Sample02_DFS20,0.0,0.027331302597427,0.3278716103142426,0.15933634660676088,0.2632918802967661,0.07763919220925497,0.06929641309480927,0.35625262915089095,0.36143426474862916,0.35404877061677786,0.30170185494112967,0.45106688041390663,0.3534397054052594,0.3649805298525457,0.34975655523170424,0.3390409436988422,0.5126369092108074,0.21708373140902804,0.375294153577752,0.36062113787305794,0.12420165706178554,0.3890478553917882,0.37034862375734046,0.40626006550274585,0.3940889118483687,0.350719104917939,0.3823621269038645,0.4038547022382005,0.45303149784809926,0.40620335152813003,0.3594057864960637,0.3237001444567964,0.29542571026337927,0.35901101492087784,0.19135592384152977,0.3360134310923468,0.22653451441048356,0.3850681851462574,0.309754096976499,0.3413079314370159,0.2821678296665072,0.31812550327970557
Sample03_DFS21,0.027331302597427,0.0,0.37790231252544326,0.20709507872448807,0.28380706032030356,0.06849810525224032,0.07535039839240665,0.4457124404120608,0.41410307277669234,0.40000181829002446,0.3780252628201102,0.49240981120568206,0.3892292526345249,0.368285508957062,0.4269904179092865,0.41650697537823134,0.5744014016204837,0.29661081279971746,0.4318256886316528,0.36950643381759785,0.13768147514335405,0.4215241280423341,0.3935827787925731,0.4364471199822466,0.4134536667113806,0.37938047853259915,0.40914203833522844,0.43315140678480835,0.48340624646113617,0.43430318481684516,0.3925705626311231,0.3352620467225279,0.32873765377580977,0.39963616962755355,0.21595364991821697,0.3511131740970549,0.2781456648247923,0.43819219424014744,0.3237756814437237,0.3814631959701278,0.32646977312305636,0.3558444767826153
Sample04_DFS31,0.3278716103142426,0.37790231252544326,0.0,0.2423619335924645,0.17015876910254235,0.3768659016804552,0.282658535312726,0.35003395583351826,0.11592395667807909,0.1326637259603659,0.1911861705471607,0.12390927979231048,0.13105097383896436,0.23371808600646793,0.2570811688620305,0.2559211162969607,0.31460337183935105,0.17962426401120257,0.1682414253840675,0.21343741183560205,0.3001999386463089,0.15581073454477645,0.14566697647932048,0.18287413657626728,0.19270843220866773,0.17716568007824884,0.18360616224758464,0.16870620483367083,0.17151002023737505,0.21108813119224512,0.2265725070955611,0.39398053983735126,0.3739479111916042,0.6145337880183377,0.3788035741466915,0.46044277858430327,0.44337105336093463,0.501734696047802,0.44669205954087277,0.5697561498686687,0.4616021492759973,0.566548958113176
Sample05_DFS32,0.15933634660676088,0.20709507872448807,0.2423619335924645,0.0,0.2006708675904939,0.16431633281183677,0.19098627553703496,0.3115582718736327,0.2674091820283796,0.2618392710923503,0.2289445848882674,0.33985926179549497,0.26390997659469484,0.28952911345237686,0.27167323060658777,0.2551139647491951,0.41995048782112865,0.15821944505867136,0.30106454783439673,0.2600693602449664,0.19561715343603447,0.32207479669500094,0.30663634361715997,0.31103815472745067,0.34341956892288583,0.2664904651037302,0.31177067660252755,0.30866315757348406,0.3744947611791837,0.33259320365826905,0.28583795700801906,0.3529241076658858,0.33659160358855844,0.4166198576236717,0.1974523156898892,0.3760121155399184,0.24054589704562357,0.39904331717332,0.34062148982995843,0.39412416022708197,0.2772438374338153,0.3501680917158976
Sample06_DFS34,0.2632918802967661,0.28380706032030356,0.17015876910254235,0.2006708675904939,0.0,0.23563227342566406,0.19667507119444483,0.512962822895376,0.2360589283063066,0.2058142389434059,0.3357277371617051,0.2609420315116203,0.1911245554638672,0.15099856365804154,0.39149148718462823,0.38670037426797044,0.4977638237454459,0.26327647280572497,0.286204115372643,0.14994800756016857,0.14821246211458539,0.22330753183960128,0.16231380070538537,0.2163844300176856,0.19341218335522847,0.20968637974634663,0.22584374012675612,0.21588378856777335,0.2556050426800802,0.24480264178375666,0.23100428779152105,0.29554101147161915,0.4752646983709009,0.6783983316459363,0.2982703805998518,0.3589720048477373,0.3762761675301707,0.5878597896602441,0.3228232356692198,0.5771713313315071,0.4620794293179805,0.5697584026254789
Sample07_DFS37,0.07763919220925497,0.06849810525224032,0.3768659016804552,0.16431633281183677,0.23563227342566406,0.0,0.09942261822000753,0.42310543514394083,0.3892119250584283,0.35477984931071316,0.3635017620984311,0.47986517274453866,0.3700749222832491,0.3344418885901953,0.3984299860364503,0.39020906382643383,0.558278032669185,0.28954814536472007,0.4367889070871793,0.32370113722066496,0.11325217596968118,0.4191239861101659,0.37528703675792885,0.4080875017463159,0.38431446838589567,0.3748455085871101,0.39301754206792605,0.4068455502486764,0.4688529448706389,0.4132933424626267,0.37505889135325055,0.30506724905544336,0.3594156968329766,0.41280850686218384,0.18503527166245548,0.3326820985253316,0.23417733292618326,0.43700929347063044,0.29851281512473915,0.3974691240119662,0.3176176790478674,0.35139746488196366
Sample08_DFS39,0.06929641309480927,0.07535039839240665,0.282658535312726,0.19098627553703496,0.19667507119444483,0.09942261822000753,0.0,0.42000724750360996,0.32366648353053207,0.2963489466964174,0.33383023817873425,0.4127781215285816,0.3194544716647435,0.289391449988299,0.37685423532651285,0.37280911754973944,0.5257559784951283,0.2580165759490839,0.36901294669709495,0.29325660937111075,0.06762493273878978,0.34004427898354384,0.2940080579930914,0.3584804020265344,0.32279729710288574,0.31341790891653054,0.3272130518003007,0.3591987939756134,0.39632571006203465,0.3694952381378692,0.3317200548123256,0.2994189438617678,0.3408261128472224,0.44280768446043217,0.2237506903523473,0.3253621990941916,0.27403637650887014,0.44249643326438626,0.3049128920858062,0.401411512530082,0.311318857386223,0.3878719874919213
Sample09_UM#7W4,0.35625262915089095,0.4457124404120608,0.35003395583351826,0.3115582718736327,0.512962822895376,0.42310543514394083,0.42000724750360996,0.0,0.2923954168637912,0.32577248504554357,0.1333999764735443,0.3883734565081889,0.3964213345032259,0.6469872828902931,0.08838211684344177,0.08899824530420952,0.20412793000360452,0.1867046186372503,0.30855428688801834,0.5509446271329763,0.4893457939459419,0.48936364564529855,0.5151936230764431,0.4904082116601106,0.5300752850991431,0.4620353871866155,0.47808312887622817,0.4950187056921359,0.5098274019067577,0.503462518877541,0.4784195448937666,0.5343747321635146,0.2822872194406255,0.279514073523372,0.36754112913160164,0.543976088150204,0.32884545727316083,0.23969839971689955,0.5424155270573885,0.300078787835514,0.27444731300920855,0.286664793332583
Sample10_UM#8W4,0.36143426474862916,0.41410307277669234,0.11592395667807909,0.2674091820283796,0.2360589283063066,0.3892119250584283,0.32366648353053207,0.2923954168637912,0.0,0.050844650675078706,0.12250910484238253,0.07234733597896637,0.07536332024715697,0.20706796394756455,0.15343600205174168,0.1542616638867711,0.17562792827949625,0.15013042542597554,0.09681225879092703,0.17867679124749924,0.3326740658668813,0.14365175108243655,0.1603179065446909,0.15936507626359053,0.20825786792098266,0.15782360560982522,0.16857482167949256,0.1621562926543214,0.1710674231781013,0.17712144250359663,0.1838994017723703,0.4037369069426928,0.3537900847450647,0.5899942213083356,0.3372805162808802,0.4653072965104894,0.3967816248988657,0.4694767833431961,0.4492969668927703,0.5344737655787264,0.43250842171736215,0.5388864765993426
Sample11_UM#15W0,0.35404877061677786,0.40000181829002446,0.1326637259603659,0.2618392710923503,0.2058142389434059,0.35477984931071316,0.2963489466964174,0.32577248504554357,0.050844650675078706,0.0,0.2014539903582384,0.14665083470067752,0.12077340806171899,0.18672835637763552,0.20301233217817694,0.21452723412713393,0.29705353475566454,0.2086498104166672,0.19186568313558594,0.19348604507713707,0.2977768208750845,0.13864586016106406,0.14118295757490806,0.13890788320355563,0.18970002163414135,0.14148187793661582,0.15022133319042952,0.15347226366841804,0.1624862145918783,0.1747299112697659,0.18018308575974695,0.4192553380386562,0.40876390081645964,0.659539331931021,0.3550585495012877,0.48953708866549794,0.43184622069598666,0.5488844955707352,0.4701783024475098,0.6035263004693643,0.4671975639169469,0.5924055035570037
