Gene,LASSO_freq,RF_freq,SVM_freq,mean_freq
PHYHD1,0.63,0.555,0.845,0.6766666666666667
NDRG2,0.44,0.61,0.795,0.615
DEPTOR,0.365,0.555,0.815,0.5783333333333334
BBS2,0.3,0.57,0.63,0.5
CACHD1,0.35,0.555,0.465,0.45666666666666667
APOD,0.505,0.21,0.6,0.43833333333333335
PHKA2,0.05,0.555,0.51,0.37166666666666665
NFIX,0.115,0.575,0.425,0.37166666666666665
FAN1,0.06,0.235,0.67,0.32166666666666666
FAHD2B,0.22,0.56,0.13,0.30333333333333334
SLC25A29,0.275,0.195,0.375,0.2816666666666667
MTERF2,0.03,0.155,0.57,0.2516666666666667
FBXW4,0.05,0.33,0.375,0.2516666666666667
KAT2A,0.0,0.2,0.52,0.24
GRTP1,0.0,0.305,0.35,0.21833333333333332
GALT,0.02,0.23,0.395,0.215
EIF4EBP3,0.08,0.11,0.435,0.20833333333333331
SYNE2,0.03,0.255,0.33,0.205
GFRA1,0.135,0.355,0.09,0.19333333333333333
CTDSPL,0.0,0.035,0.53,0.18833333333333332
ARSI,0.06,0.41,0.09,0.18666666666666668
ILF3-DT,0.0,0.1,0.45,0.18333333333333332
TAF1,0.005,0.205,0.3,0.17
KYNU,0.165,0.18,0.15,0.165
GPD1L,0.005,0.45,0.03,0.16166666666666668
TLR3,0.015,0.075,0.38,0.15666666666666665
BOC,0.195,0.165,0.105,0.155
LETMD1,0.0,0.455,0.0,0.15166666666666667
TAPT1-AS1,0.0,0.115,0.34,0.15166666666666667
GTF2IP20,0.01,0.22,0.215,0.14833333333333334
AMY2B,0.14,0.245,0.04,0.14166666666666666
PI16,0.005,0.38,0.035,0.14
ALDH5A1,0.01,0.125,0.28,0.13833333333333334
HDAC11,0.005,0.06,0.34,0.135
RBL2,0.0,0.08,0.32,0.13333333333333333
SETD6,0.005,0.255,0.14,0.13333333333333333
NDUFA6-DT,0.045,0.085,0.265,0.13166666666666665
SERTAD4,0.01,0.035,0.345,0.13
CFD,0.2,0.145,0.045,0.13
MST1P2,0.025,0.19,0.17,0.12833333333333333
ZBTB44,0.0,0.2,0.18,0.12666666666666665
FRZB,0.005,0.135,0.235,0.125
CYP4X1,0.015,0.14,0.21,0.12166666666666666
CILP,0.095,0.125,0.135,0.11833333333333335
NR3C2,0.11,0.13,0.11,0.11666666666666665
MAOB,0.0,0.065,0.285,0.11666666666666665
FAAH,0.0,0.26,0.09,0.11666666666666665
GSTM2,0.12,0.195,0.03,0.115
TFDP2,0.065,0.14,0.135,0.11333333333333334
LRIG3,0.005,0.225,0.105,0.11166666666666666
LINC01133,0.005,0.07,0.26,0.11166666666666666
LINC01605,0.045,0.23,0.055,0.11
CLU,0.005,0.085,0.24,0.11
HLF,0.16,0.06,0.105,0.10833333333333334
LIFR,0.04,0.05,0.225,0.105
PLP1,0.0,0.22,0.095,0.105
TP73-AS1,0.005,0.16,0.135,0.1
PDZD2,0.005,0.155,0.14,0.1
CHSY3,0.0,0.0,0.29,0.09666666666666666
TMEM116,0.025,0.18,0.085,0.09666666666666666
PARP16,0.01,0.115,0.16,0.095
PTPRE,0.005,0.03,0.25,0.095
SCUBE2,0.02,0.23,0.025,0.09166666666666666
NFIA,0.0,0.25,0.025,0.09166666666666666
SLC16A14,0.0,0.085,0.185,0.09
PAN2,0.005,0.245,0.015,0.08833333333333333
HOXC12,0.0,0.19,0.07,0.08666666666666666
CX3CL1,0.035,0.125,0.1,0.08666666666666666
ALDH3A2,0.0,0.04,0.215,0.085
GLIS3,0.0,0.0,0.255,0.085
VIPR1,0.0,0.185,0.065,0.08333333333333334
PCDH17,0.0,0.0,0.25,0.08333333333333334
TACR1,0.005,0.245,0.0,0.08333333333333334
CEP68,0.005,0.145,0.09,0.08
IL11RA,0.03,0.065,0.145,0.08
NMNAT3,0.0,0.16,0.08,0.08
MARCKS,0.0,0.0,0.235,0.07833333333333332
HIF1A,0.075,0.015,0.145,0.07833333333333332
THBS4,0.0,0.02,0.215,0.07833333333333332
CNNM3,0.02,0.15,0.05,0.07333333333333333
CGNL1,0.04,0.025,0.155,0.07333333333333333
ADAMTS12,0.0,0.005,0.215,0.07333333333333333
SDHAP3,0.0,0.215,0.0,0.07166666666666667
OGA,0.0,0.045,0.17,0.07166666666666667
KANTR,0.075,0.06,0.08,0.07166666666666667
THRA,0.0,0.055,0.16,0.07166666666666667
AHNAK,0.0,0.1,0.1,0.06666666666666667
EGFR,0.0,0.13,0.07,0.06666666666666667
CHD6,0.0,0.05,0.15,0.06666666666666667
ADRA2C,0.0,0.185,0.015,0.06666666666666667
TBC1D8,0.03,0.125,0.04,0.065
NPIPB13,0.0,0.045,0.145,0.06333333333333332
SULF1,0.0,0.0,0.19,0.06333333333333332
CECR7,0.015,0.15,0.025,0.06333333333333332
GPR176,0.0,0.0,0.19,0.06333333333333332
FKBP1A,0.015,0.055,0.12,0.06333333333333332
CTSF,0.03,0.075,0.085,0.06333333333333332
LINC00174,0.005,0.18,0.0,0.06166666666666667
KPNA2,0.05,0.03,0.105,0.06166666666666667
SLC20A1,0.0,0.01,0.175,0.06166666666666667
PRSS23,0.01,0.02,0.155,0.06166666666666667
CYP4B1,0.0,0.095,0.085,0.06
LYRM9,0.02,0.08,0.075,0.05833333333333333
ECT2,0.0,0.03,0.145,0.05833333333333333
ARHGEF26,0.0,0.115,0.05,0.055
ZSCAN18,0.005,0.065,0.095,0.055
UVSSA,0.0,0.15,0.01,0.05333333333333333
PDE9A,0.01,0.135,0.015,0.05333333333333333
PVR,0.0,0.02,0.14,0.05333333333333333
LINC01315,0.0,0.16,0.0,0.05333333333333333
SPHK1,0.01,0.055,0.095,0.05333333333333333
CYTL1,0.0,0.0,0.16,0.05333333333333333
FBLN5,0.01,0.11,0.035,0.051666666666666666
DNMBP,0.015,0.125,0.015,0.051666666666666666
PARD3B,0.0,0.145,0.005,0.05
SRPRB,0.0,0.0,0.15,0.05
F10,0.0,0.14,0.01,0.05
SHC1,0.01,0.02,0.12,0.05
PNPLA7,0.015,0.115,0.02,0.05
SLC29A1,0.0,0.05,0.095,0.04833333333333333
SCARB1,0.0,0.015,0.13,0.04833333333333333
VPS13D,0.0,0.025,0.12,0.04833333333333333
TNFRSF12A,0.03,0.045,0.065,0.04666666666666667
CDC20,0.0,0.1,0.04,0.04666666666666667
PPOX,0.0,0.105,0.035,0.04666666666666667
PLPP3,0.0,0.045,0.095,0.04666666666666667
N4BP2L1,0.0,0.115,0.025,0.04666666666666667
MYRIP,0.03,0.08,0.025,0.045
ZNF704,0.0,0.135,0.0,0.045
TMEM8B,0.05,0.04,0.045,0.045
CHN1,0.0,0.0,0.13,0.04333333333333333
CBX7,0.035,0.08,0.015,0.04333333333333333
AKAP1,0.0,0.08,0.05,0.04333333333333333
GIGYF1,0.0,0.045,0.085,0.04333333333333333
GLIPR1,0.005,0.02,0.1,0.04166666666666667
MTHFD1L,0.0,0.01,0.115,0.04166666666666667
LRIG2,0.0,0.03,0.09,0.04
NSUN5P2,0.0,0.095,0.025,0.04
CRACR2B,0.04,0.045,0.035,0.04
MPV17L,0.005,0.06,0.055,0.04
CDON,0.01,0.06,0.05,0.04
SPDYE18,0.0,0.035,0.085,0.04
GNG5,0.0,0.015,0.105,0.04
GSN,0.0,0.095,0.02,0.03833333333333334
PLAC9,0.005,0.015,0.095,0.03833333333333334
ADCY2,0.0,0.09,0.025,0.03833333333333334
MMP28,0.005,0.055,0.055,0.03833333333333334
CALCOCO1,0.015,0.04,0.055,0.03666666666666667
IL1B,0.0,0.015,0.095,0.03666666666666667
PLEKHH1,0.0,0.08,0.03,0.03666666666666667
CEP95,0.0,0.09,0.015,0.035
TPM4,0.06,0.025,0.02,0.035
NFIB,0.0,0.03,0.07,0.03333333333333333
FAM117A,0.005,0.02,0.075,0.03333333333333333
WNT5A,0.0,0.1,0.0,0.03333333333333333
RRAGB,0.0,0.1,0.0,0.03333333333333333
CYP4F12,0.0,0.095,0.005,0.03333333333333333
PLCB4,0.0,0.1,0.0,0.03333333333333333
SAV1,0.0,0.025,0.075,0.03333333333333333
SPRY1,0.0,0.05,0.05,0.03333333333333333
ELFN1,0.0,0.005,0.095,0.03333333333333333
PGF,0.005,0.06,0.03,0.03166666666666666
ZNF469,0.0,0.0,0.095,0.03166666666666666
FAM189A2,0.0,0.09,0.0,0.03
MYLIP,0.0,0.085,0.005,0.03
SLC22A5,0.0,0.09,0.0,0.03
GPRASP1,0.005,0.085,0.0,0.03
NCALD,0.0,0.005,0.085,0.03
ATP6V0E2,0.005,0.07,0.01,0.028333333333333335
NUTF2,0.0,0.005,0.08,0.028333333333333335
FAHD2CP,0.01,0.07,0.005,0.028333333333333335
EZH1,0.0,0.085,0.0,0.028333333333333335
THBS1,0.0,0.0,0.085,0.028333333333333335
ARHGAP12,0.0,0.075,0.005,0.026666666666666665
ENTPD7,0.0,0.075,0.005,0.026666666666666665
TMEM198B,0.0,0.07,0.01,0.026666666666666665
SERPINE1,0.0,0.0,0.08,0.026666666666666665
ADAM10,0.0,0.015,0.065,0.026666666666666665
PDIA6,0.0,0.005,0.07,0.025
CNN2,0.005,0.045,0.025,0.025
WNT11,0.0,0.075,0.0,0.025
COL4A1,0.0,0.01,0.065,0.025
ACBD4,0.0,0.075,0.0,0.025
TUBB3,0.025,0.035,0.015,0.025
SVEP1,0.015,0.055,0.005,0.025
POLR2J4,0.0,0.07,0.0,0.023333333333333334
GOLGA8B,0.0,0.025,0.045,0.023333333333333334
MIR29B2CHG,0.0,0.045,0.025,0.023333333333333334
SLC25A27,0.0,0.07,0.0,0.023333333333333334
ASH1L,0.0,0.055,0.015,0.023333333333333334
RABL2A,0.0,0.07,0.0,0.023333333333333334
FBXO44,0.0,0.065,0.0,0.021666666666666664
PDGFD,0.0,0.05,0.015,0.021666666666666664
ACADSB,0.005,0.02,0.04,0.021666666666666664
TMEM50B,0.0,0.055,0.01,0.021666666666666664
TMEM147-AS1,0.02,0.02,0.025,0.021666666666666664
ITGAV,0.0,0.04,0.025,0.021666666666666664
AMOT,0.0,0.06,0.005,0.021666666666666664
GUSBP11,0.005,0.045,0.015,0.021666666666666664
SNAI1,0.0,0.0,0.065,0.021666666666666664
NBPF12,0.0,0.065,0.0,0.021666666666666664
MFAP4,0.005,0.06,0.0,0.021666666666666664
NID2,0.0,0.01,0.055,0.021666666666666664
PHKG1,0.0,0.065,0.0,0.021666666666666664
CKAP2L,0.0,0.065,0.0,0.021666666666666664
PPIP5K1,0.0,0.015,0.05,0.021666666666666664
SSBP2,0.0,0.025,0.035,0.02
FAM180B,0.0,0.06,0.0,0.02
PFN1,0.0,0.06,0.0,0.02
ADD3,0.0,0.0,0.06,0.02
TSPAN8,0.0,0.06,0.0,0.02
MELK,0.0,0.06,0.0,0.02
CEP55,0.0,0.06,0.0,0.02
PRR11,0.0,0.055,0.005,0.02
PLA2G6,0.0,0.06,0.0,0.02
GLDN,0.0,0.045,0.015,0.02
SNRPG,0.0,0.005,0.055,0.02
ENO1,0.0,0.06,0.0,0.02
GALE,0.0,0.0,0.06,0.02
BMP4,0.0,0.06,0.0,0.02
PTPRS,0.0,0.045,0.015,0.02
COL4A6,0.0,0.06,0.0,0.02
N4BP2L2,0.0,0.06,0.0,0.02
PPP1R1B,0.025,0.005,0.03,0.02
TMEM25,0.0,0.055,0.005,0.02
NRN1,0.0,0.05,0.005,0.018333333333333333
ZNF862,0.0,0.035,0.02,0.018333333333333333
AGAP4,0.0,0.055,0.0,0.018333333333333333
SLC25A4,0.0,0.055,0.0,0.018333333333333333
ARF4,0.0,0.025,0.03,0.018333333333333333
NETO2,0.005,0.035,0.015,0.018333333333333333
MMP1,0.0,0.02,0.035,0.018333333333333333
CAPN3,0.0,0.05,0.005,0.018333333333333333
INMT,0.0,0.05,0.005,0.018333333333333333
AOX1,0.0,0.005,0.05,0.018333333333333333
HSPA5,0.0,0.055,0.0,0.018333333333333333
RAN,0.0,0.035,0.02,0.018333333333333333
RAD51-AS1,0.01,0.035,0.01,0.018333333333333333
DLGAP5,0.0,0.055,0.0,0.018333333333333333
LINC00894,0.0,0.04,0.015,0.018333333333333333
ABCA6,0.0,0.045,0.005,0.016666666666666666
FAXDC2,0.0,0.05,0.0,0.016666666666666666
ACTN1,0.0,0.0,0.05,0.016666666666666666
PPIL1,0.0,0.02,0.03,0.016666666666666666
GLMP,0.0,0.0,0.05,0.016666666666666666
SULF2,0.0,0.005,0.045,0.016666666666666666
GSTO1,0.0,0.05,0.0,0.016666666666666666
ABCA10,0.0,0.05,0.0,0.016666666666666666
MBTD1,0.0,0.04,0.01,0.016666666666666666
SEC24D,0.0,0.0,0.05,0.016666666666666666
KIF23,0.0,0.05,0.0,0.016666666666666666
CCT5,0.0,0.045,0.005,0.016666666666666666
MKI67,0.0,0.005,0.045,0.016666666666666666
NTRK2,0.0,0.05,0.0,0.016666666666666666
TNC,0.0,0.0,0.045,0.015
NISCH,0.0,0.025,0.02,0.015
CLDN11,0.0,0.03,0.015,0.015
MFSD4A,0.0,0.04,0.005,0.015
MCF2L,0.0,0.01,0.035,0.015
LRP5,0.0,0.01,0.035,0.015
C1QTNF6,0.0,0.0,0.045,0.015
MBOAT1,0.0,0.045,0.0,0.015
MATN2,0.0,0.045,0.0,0.015
CCNB1,0.0,0.04,0.005,0.015
