Gene,MeanDecreaseGini
FAHD2B,0.02430991259941897
CACHD1,0.022289593106318804
NFIX,0.020099546485260737
DEPTOR,0.01944501887825266
BBS2,0.01909954648526075
NDRG2,0.018427594202158646
FAAH,0.017264691966145253
PHKA2,0.016218413081527754
PHYHD1,0.015200904662491284
FBXW4,0.01475344860006964
GRTP1,0.014745699740719641
ARSI,0.013705533314481278
GPD1L,0.013193738585523451
LETMD1,0.012897708480982737
GFRA1,0.01111885211011577
NFIA,0.009897708480982743
LRIG3,0.009661801274476411
PI16,0.009646536217903965
GALT,0.009601601715357802
PARD3B,0.009413067605878612
SLC25A29,0.00930129934038293
PLP1,0.00908252942718943
GSTM2,0.008916334661354566
ZBTB44,0.00889559600278831
TACR1,0.0088781013096278
TBC1D8,0.008605216783401887
CBX7,0.007838659091644069
CFD,0.007832060561470712
F10,0.007788255725828724
PAN2,0.007779324296381016
SETD6,0.007742398992048902
SDHAP3,0.0077322857142857054
WNT11,0.007561921237596084
LINC01605,0.007099546485260764
TFDP2,0.006982745946111453
APOD,0.006930612902085581
LINC00174,0.006884224547033965
TP73-AS1,0.00665593645268933
EGFR,0.006164953514860154
UVSSA,0.005999999999999993
SCUBE2,0.005998818951767327
KYNU,0.00591666666666666
PDE9A,0.00581995352683028
EIF4EBP3,0.005735942202310189
BOC,0.005647063123776615
SLC16A14,0.00562772624201195
FRZB,0.005586188454508594
CX3CL1,0.005581731568454937
TAF1,0.00510076992753623
MBOAT1,0.0049956389998148205
HOXC12,0.00498170873565097
PLCB4,0.00491668248244448
MST1P2,0.004900453514739226
CECR7,0.004897708480982748
N4BP2L1,0.004876658417078496
LIFR,0.0048333649648889645
ADCY2,0.0048317939503182495
GTF2IRD2B,0.004799202190005794
GPRASP1,0.004795416961965504
WNT5A,0.004785980220667646
NMNAT3,0.00474442064841794
FBXO44,0.00474416325261593
PHKG1,0.004714300128056219
ZSCAN18,0.00460532318094261
FAN1,0.004532427681225691
TMEM116,0.004493841279005823
MTERF2,0.004099932325738777
CLU,0.00401732094639193
ARHGEF26,0.00400256456373675
CEP55,0.003999999999999997
MIR29B2CHG,0.0039565397203856914
LINC01315,0.003930487881294328
SYNE2,0.003908779817234543
ZNF704,0.003852834467120176
ALDH5A1,0.0038314179729430783
MAOB,0.003810564814063311
NDUFA6-DT,0.003790090090090086
FBLN5,0.0037637924195567905
MYLIP,0.0037534670142957537
CDC20,0.003701401382037804
PFN1,0.003693569191994457
ILF3-DT,0.0036632083069002104
TMEM8B,0.003633596100187833
AMY2B,0.0035641035856573675
SEMA6A,0.003519416174933308
TAPT1-AS1,0.0031616686784898844
AKAP1,0.003097664480222618
LYRM9,0.0030873015873015834
GTF2IP20,0.003031289576855324
NEIL1,0.003026576576576574
CYP4X1,0.0030209027408653025
ACADSB,0.002999999999999997
FAM180B,0.0029999999999999953
HIF3A,0.0029999999999999944
CEP68,0.0029971862175764558
KAT2A,0.0029322530064442784
GUSBP11,0.0029166824824444822
SVEP1,0.0029166666666666655
IL11RA,0.002915619047619045
SLC29A1,0.0029155121951219484
CNNM3,0.002914331146889283
PLA2G6,0.0029004535147392242
ABCA9,0.0028961849710982613
TCF7L2,0.0028300339008461126
L3MBTL1,0.002826891846105312
DLGAP5,0.0027969385534465196
ADRA2C,0.0027478137251854824
ARHGAP12,0.0027373102508942548
CDON,0.0027141350766357163
TSPAN8,0.0026649860908519066
FAM117A,0.0026579242912142397
HDAC11,0.0025838227453053087
SLC22A5,0.002556763632971106
D2HGDH,0.0022521862748145142
PGF,0.0022319642857142876
SERTAD4,0.0021750323129430264
COL4A6,0.0021723443047692147
CEP95,0.002148386008274074
TMEM198B,0.0021188870151770656
HLF,0.002117026085410424
RBL2,0.0021032929929557962
INMT,0.0021022915190172485
LRIG2,0.002099526066350708
RRAGB,0.002085478294275835
NBPF11,0.0020843809523809517
CHD6,0.002083333333333331
NSUN5P2,0.002004547548312254
POLR2J4,0.0020000000000000018
RPN2,0.0020000000000000005
EZH1,0.001999999999999999
OVGP1,0.001999999999999999
DNMBP,0.001999999999999999
STEAP1B,0.0019999999999999987
NBPF12,0.0019999999999999983
NETO2,0.001999999999999998
HYOU1,0.001999999999999998
VIT,0.0019999999999999974
MYO15B,0.0019999999999999974
NTRK2,0.0019999999999999974
MST1,0.001999911075969303
PPOX,0.0019994755389527354
ACTB,0.001983665338645418
ALDH3A2,0.0019233175175555131
CRACR2B,0.0019166666666666683
MATN2,0.0019163346613545811
NPY1R,0.0019156190476190477
VIPR1,0.001915512195121952
BCL2,0.001912698412698414
LGI4,0.0019004739336492885
PRR11,0.001900473933649287
ACBD4,0.0019
ENTPD7,0.0018999999999999985
DNAJB11,0.0018999999999999974
CILP,0.0018961849710982647
MYRIP,0.0018656012859339232
FAXDC2,0.0018574358974358994
GLDN,0.0018500976937490584
GIGYF1,0.0018397225264695123
FAM107A,0.0018261455015572024
ICA1,0.0018216485669222205
SSBP2,0.0018167556888455923
