feature,test_statistic,p,-log2(p)
BBS2,0.5588821989871013,0.454710972467143,1.13697827722906
CACHD1,1.7829364874711715,0.18178915573651627,2.4596619538359534
DEPTOR,1.795067843852437,0.18030991402803484,2.4714493718505337
NDRG2,0.30676281567566854,0.5796734780566015,0.7866876157464441
PHYHD1,1.2669858631956574,0.26033289238559326,1.9415704908532612
anion_gap,0.1546319059183696,0.6941476673176861,0.5266854922491869
antibiotic_use,0.06570246597155009,0.7976999544405398,0.3260818993680296
bun,0.4460709970811969,0.5042067048595883,0.9879127918369585
creatinine,1.7055222742727574,0.19156736470712343,2.3840762894785033
crp,0.010039763379511197,0.9201866418618508,0.12000158156676981
fibrinogen,0.12942402926701566,0.7190299740344445,0.4758761816782866
glucose,3.7261948415584776,0.05356529078781875,4.222557723205659
insulin_use,2.789181331674732,0.09490270000753506,3.397407056879555
procalcitonin,0.19443788639797546,0.6592483872343778,0.6011059581593944
wound_culture_positive,0.6879657725425398,0.4068571598800801,1.2974057153908123
