feature,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
anion_gap,0.17657044202205155,1.1931184694770305,0.0616168743948342,0.05580358736824828,0.29733729667585485,1.057389978590839,1.3462693150395866,0.0,2.8656182864876825,0.004161957530280168,7.908522041157028
antibiotic_use,0.37154458275643926,1.4499724884307352,0.16348347944582875,0.05112285097532071,0.6919663145375579,1.0524521801183404,1.997639661851066,0.0,2.2726735693165425,0.02304585855958831,5.439348674363661
bun,0.34838574642781256,1.4167786616527598,0.0597956697323043,0.2311883873210443,0.4655831055345808,1.2600966033137133,1.5929427718764015,0.0,5.826270497303234,5.667972122218412e-09,27.394520191572983
creatinine,0.23740485048727689,1.2679543458127103,0.052028702933536015,0.13543046657521285,0.3393792343993409,1.1450295752384725,1.404075718070867,0.0,4.562959234070266,5.0437610990502616e-06,17.597068626207182
crp,0.3765246719066327,1.457211491166563,0.052291168147975194,0.27403586562707327,0.4790134781861921,1.3152619740882616,1.614480895686095,0.0,7.200540459167623,5.997435770928071e-13,40.6007194313646
fibrinogen,-0.25123590071891994,0.7778388571686101,0.06030098832044424,-0.3694236660591611,-0.13304813537867877,0.6911325390156832,0.8754229522792589,0.0,-4.166364560790155,3.094956275091175e-05,14.979721446953564
glucose,0.23270090705588545,1.2620039663925555,0.06300213347046445,0.10921899450458965,0.35618281960718123,1.1154065915106588,1.4278685667739512,0.0,3.693540111065861,0.0002211536072707969,12.142663605098338
insulin_use,0.2525444241708396,1.2872966819722906,0.13135370425164142,-0.004904105398303327,0.5099929537399825,0.9951079000931592,1.6652794609124624,0.0,1.9226288714860036,0.05452667544128109,4.196893994533802
procalcitonin,0.3895331395254962,1.4762914108637406,0.044840374763996216,0.30164761993478484,0.4774186591162075,1.3520846950612646,1.611908142848478,0.0,8.687107134489539,3.717854772714102e-18,57.90023529133999
wound_culture_positive,0.5131574998439338,1.6705576616925275,0.12977813300380944,0.2587970331756183,0.7675179665122492,1.2953708608344772,2.154412288726178,0.0,3.9541137475669403,7.681885972066083e-05,13.668179925401956
BBS2,-0.1300785941377905,0.878026420479214,0.06346626239401638,-0.25447018266343147,-0.005687005612149548,0.7753271709373184,0.994329134792914,0.0,-2.049570736184621,0.04040633854273783,4.629274563459008
CACHD1,-0.1953391394242752,0.8225556496978528,0.059745913875312744,-0.31243897884332006,-0.07823930000523033,0.7316602743407081,0.9247431090331264,0.0,-3.269497891218802,0.001077385403782675,9.858249859604475
DEPTOR,0.21720590669811682,1.2425999354477524,0.06243836150560003,0.09482896689344865,0.339582846502785,1.0994707931388354,1.404361633988201,0.0,3.478725281390285,0.0005038047736021158,10.954847587728441
NDRG2,-0.24270715478606256,0.7845012175629783,0.0647981118664415,-0.3697091203104854,-0.11570518926163972,0.6909352804496802,0.8907377836564494,0.0,-3.7455899222236284,0.00017997036715220087,12.439952999005332
PHYHD1,-0.2560987115313671,0.7740655558244959,0.06081747513531932,-0.37529877242725324,-0.13689865063548096,0.6870839663772941,0.8720586042388642,0.0,-4.210939552514234,2.5431079289964135e-05,15.263047783417944
