,mean,std
seed,691.0,1154.5445
AUC_clinical,0.7341,0.0442
AUC_genomic,0.6602,0.0168
AUC_fused,0.796,0.0247
AUC_wagner,0.6928,0.0158
PR_AUC_clinical,0.4688,0.0715
PR_AUC_genomic,0.3323,0.0238
PR_AUC_fused,0.5346,0.0676
PR_AUC_wagner,0.3486,0.0079
Brier_clinical,0.1419,0.0101
Brier_genomic,0.1571,0.0018
Brier_fused,0.1314,0.0096
Brier_wagner,0.1516,0.0005
NRI_fused_vs_clinical,0.5372,0.037
IDI_fused_vs_clinical,0.0663,0.0079
NRI_fused_vs_wagner,0.6746,0.0636
IDI_fused_vs_wagner,0.1367,0.037
p_delong_fused_vs_clinical,0.0,0.0
p_delong_fused_vs_genomic,0.0,0.0
p_delong_fused_vs_wagner,0.0,0.0
