Gene,Drug,Approved,Interaction_score,Interaction_types,Directionality,Source_count,Sources,PMIDs
BBS2,XPC-7224,False,3.2627,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,&BETA;-SCORPION TOXIN CN2,False,3.2627,activator,ACTIVATING,1,Guide to Pharmacology,
BBS2,XPC-5462,False,1.6314,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,ZANDATRIGINE,False,1.6314,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,PF-04885614,False,1.0876,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,VERATRIDINE,False,0.8157,activator,ACTIVATING,1,Guide to Pharmacology,
BBS2,RELUTRIGINE,False,0.8157,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,SAXITOXIN,False,0.8157,blocker,INHIBITORY,1,Guide to Pharmacology,
BBS2,BATRACHOTOXIN,False,0.6525,activator,ACTIVATING,1,Guide to Pharmacology,
BBS2,GNE-131,False,0.6525,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,AM-6120,False,0.6525,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,FUNAPIDE,False,0.5438,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,ATX-II,False,0.5438,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,AFT-II,False,0.5438,inhibitor,INHIBITORY,1,Guide to Pharmacology,
BBS2,BC-III,False,0.5438,inhibitor,INHIBITORY,1,Guide to Pharmacology,
DEPTOR,OSI-027,False,1.9335,inhibitor,INHIBITORY,1,My Cancer Genome,
DEPTOR,AZD8055,False,1.4501,inhibitor,INHIBITORY,1,My Cancer Genome,
DEPTOR,SAPANISERTIB,True,0.7566,inhibitor,INHIBITORY,1,My Cancer Genome,
