gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,status_standard,status_relaxed,status_strict
GSTM2,2.643288367827193,4.647571942110377,-2.0042835742831846,-12.5914588448263,43.614835533211945,4.440892098500626e-16,1.6990409079653546e-12,Down,Down,Down
APOD,3.136953048979104,7.553625161319227,-4.416672112340123,-12.909042588901313,43.614835533211945,2.220446049250313e-16,1.6990409079653546e-12,Down,Down,Down
CFD,4.054061897948759,8.277820764554553,-4.223758866605794,-12.430774588393922,43.614835533211945,6.661338147750939e-16,1.6990409079653546e-12,Down,Down,Down
NDRG2,3.615584535294425,5.755167739101682,-2.1395832038072573,-12.345795283421445,43.614835533211945,6.661338147750939e-16,1.6990409079653546e-12,Down,Down,Down
CACHD1,1.3679973371492575,2.8662732925512833,-1.4982759554020257,-12.441511865864854,43.614835533211945,6.661338147750939e-16,1.6990409079653546e-12,Down,Down,ns
PHYHD1,2.051472544380804,3.351511019429912,-1.3000384750491079,-12.295385841010361,43.614835533211945,8.881784197001252e-16,1.887823231072616e-12,Down,Down,ns
AMY2B,1.1447093435119988,3.2914499348178756,-2.1467405913058766,-12.236972714112753,43.614835533211945,1.1102230246251565e-15,2.022667747577803e-12,Down,Down,Down
BBS2,2.8355495295417543,4.087865499493214,-1.2523159699514594,-11.947092228310835,43.614835533211945,2.4424906541753444e-15,3.893635414087271e-12,Down,Down,ns
FAHD2B,1.4704452908832513,2.598351366781774,-1.1279060758985227,-11.82763717127035,43.614835533211945,3.3306690738754696e-15,4.7195580776815405e-12,Down,Down,ns
GFRA1,0.2226089456444723,2.7845723524424995,-2.5619634067980273,-11.669700372826016,43.614835533211945,5.329070518200751e-15,6.7961636318614184e-12,Down,Down,Down
BOC,2.367371660024142,4.079493717332289,-1.712122057308147,-11.567054704262793,43.614835533211945,7.105427357601002e-15,7.787270828174542e-12,Down,Down,Down
NR3C2,0.435154887619354,1.8754771901547596,-1.4403223025354055,-11.551433435753964,43.614835533211945,7.327471962526033e-15,7.787270828174542e-12,Down,Down,ns
KYNU,3.5420596417855426,1.371418819337966,2.1706408224475764,11.449701136297023,43.614835533211945,9.769962616701378e-15,9.584333326984051e-12,Up,Up,Up
HLF,0.7079464110476441,2.835923788097927,-2.127977377050283,-11.426696657917942,43.614835533211945,1.0658141036401503e-14,9.708805188373454e-12,Down,Down,Down
NFIX,3.542207513257825,5.5870145308389745,-2.0448070175811495,-11.3481985412474,43.614835533211945,1.3322676295501878e-14,1.1326939386435697e-11,Down,Down,Down
PNPLA7,0.7570843556087957,2.752290847907672,-1.9952064922988764,-11.213157809815822,43.614835533211945,1.9761969838327786e-14,1.575152508426214e-11,Down,Down,Down
DEPTOR,1.226661666689827,2.414088159927169,-1.187426493237342,-11.186077869776115,43.614835533211945,2.1316282072803006e-14,1.599097325143863e-11,Down,Down,ns
CBX7,1.9859350352388103,3.8946037083483813,-1.908668673109571,-11.144008247259615,43.614835533211945,2.398081733190338e-14,1.6692331727378923e-11,Down,Down,Down
CILP,0.646508588853121,4.3708540171301395,-3.7243454282770188,-11.132792019223508,43.614835533211945,2.4868995751603507e-14,1.6692331727378923e-11,Down,Down,Down
ARSI,2.88218235078251,0.6670478699580501,2.2151344808244597,11.017984309948623,43.614835533211945,3.4861002973229915e-14,2.2229118545880056e-11,Up,Up,Up
PI16,0.695790640833691,5.3489081728107495,-4.653117531977059,-10.865358051297667,43.614835533211945,5.440092820663267e-14,3.153522897359938e-11,Down,Down,Down
ULBP2,2.6644312288488656,0.6029146414141223,2.061516587434743,10.776030376506798,43.614835533211945,7.083222897108499e-14,3.870037623698863e-11,Up,Up,Up
TACR1,0.4065662084861259,1.9714648744658287,-1.5648986659797028,-10.767337070221263,43.614835533211945,7.283063041541027e-14,3.870037623698863e-11,Down,Down,Down
CDON,1.0443508598142086,2.9995994883696233,-1.9552486285554147,-10.752965494484402,43.614835533211945,7.593925488436071e-14,3.8738132701610086e-11,Down,Down,Down
IL11RA,2.235970356321292,4.246410132685148,-2.010439776363856,-10.686316107285279,43.614835533211945,9.259260025373806e-14,4.5416670424458516e-11,Down,Down,Down
KANTR,1.0063190297267341,2.1678153530488644,-1.1614963233221303,-10.408801127028497,43.614835533211945,2.1271873151818e-13,1.0047414752042035e-10,Down,Down,ns
FAXDC2,1.541078894703444,3.7531972942481353,-2.2121183995446914,-10.365609753362298,43.614835533211945,2.4225066397320916e-13,1.0789886225871936e-10,Down,Down,Down
L3MBTL4,0.6220399982025954,1.729694923078839,-1.1076549248762437,-10.361265162833973,43.614835533211945,2.453592884421596e-13,1.0789886225871936e-10,Down,Down,ns
SCUBE2,1.1608881482924291,2.662765022327877,-1.501876874035448,-10.342450580216026,43.614835533211945,2.5979218776228663e-13,1.1043765901774805e-10,Down,Down,Down
LIFR,0.9856608159649894,2.642270619781621,-1.6566098038166315,-10.324918841696697,43.614835533211945,2.7400304247748863e-13,1.1272131615211008e-10,Down,Down,Down
LINC01605,2.2801411657828505,0.728908103049225,1.5512330627336255,10.242152873081343,43.614835533211945,3.5216274341109965e-13,1.403478583350548e-10,Up,Up,Up
N4BP2L1,1.7055653429466984,2.9421083422539125,-1.2365429993072141,-10.229957146982285,43.614835533211945,3.6548541970660153e-13,1.4124350174297845e-10,Down,Down,ns
SYNE2,3.0985503998344854,4.668517650037158,-1.5699672502026725,-10.188046833322225,43.614835533211945,4.150013666048835e-13,1.5121464080891655e-10,Down,Down,Down
PAN2,2.3431676739494525,3.630427183408387,-1.2872595094589347,-10.156131641883608,43.614835533211945,4.571898415406395e-13,1.6195950136577153e-10,Down,Down,ns
FBLN5,3.0966947132435125,4.844902178566142,-1.7482074653226292,-10.037832894131007,43.614835533211945,6.561418075534675e-13,2.2615612085755058e-10,Down,Down,Down
FGFR2,1.6962925398352,3.923176110025959,-2.2268835701907586,-9.968774328673998,43.614835533211945,8.109068971862143e-13,2.5896215172238615e-10,Down,Down,Down
TGFBR3,1.900085442569399,4.01112870549449,-2.111043262925091,-9.96826072277389,43.614835533211945,8.122391648157645e-13,2.5896215172238615e-10,Down,Down,Down
CYP4F12,0.8084662351593709,3.7864867685507506,-2.97802053339138,-9.972160056930472,43.614835533211945,8.024692021990631e-13,2.5896215172238615e-10,Down,Down,Down
CTSF,3.296165637655828,4.627900379390532,-1.3317347417347039,-9.84438917250177,43.614835533211945,1.1890488593735427e-12,3.6985219764855583e-10,Down,Down,ns
MYRIP,0.3083920125230848,1.3122836663225694,-1.0038916537994846,-9.814822015152934,43.614835533211945,1.3027356970951587e-12,3.863671708152223e-10,Down,Down,ns
TMEM116,1.1995471221848715,2.5926087632728994,-1.3930616410880279,-9.81645954289613,43.614835533211945,1.2962964035523328e-12,3.863671708152223e-10,Down,Down,ns
CYP4X1,0.6785804106318786,1.9720804458737309,-1.2935000352418524,-9.763652634352653,43.614835533211945,1.5261125696497402e-12,4.2427822957063927e-10,Down,Down,ns
CX3CL1,1.5425391025126856,3.4103638859691285,-1.867824783456443,-9.758397553281473,43.614835533211945,1.5512036100062687e-12,4.2427822957063927e-10,Down,Down,Down
NOP53,6.650077898282859,7.927163476557858,-1.277085578274999,-9.774344636287434,43.614835533211945,1.4763745781465332e-12,4.2427822957063927e-10,Down,Down,ns
ZNF704,0.8400714824997645,2.147438869412955,-1.3073673869131905,-9.693580155942712,43.614835533211945,1.8962609260597674e-12,4.822277871136962e-10,Down,Down,ns
ADCY2,0.44697688222035165,1.9160296910878647,-1.469052808867513,-9.680167375105164,43.614835533211945,1.9768631176475537e-12,4.848256796030626e-10,Down,Down,ns
